,lesson,en,es,fr,zh,de,ja,it,nl,ru,pt,ko,el,ar,he,th,ln,ta,hi,pl,tl,sv,ro,no,tr,fi,fa,da,in,cs,hu,be,uk,am,sw,bg,hr,eo
0,1010,Animals,Animales,Animaux,動物,Tiere,動物,Animali,Dieren,Животные,Animais,동물,Ζώα,الحيوانات,בעלי חיים,สัตว์,Animalia,விலங்குகள்,जानवर,Zwierzęta,Mga hayop,Djur,Animale,Dyr,Hayvanlar,Eläimet,حیوانات,Dyr,Binatang,Zvířata,Állatok,Жывёлы,Тварини,እንስሳት,Wanyama,Животните,Životinje,Bestoj
1,1020,Plants,Plantas,Plantes,植物,Pflanzen,植物,Piante,Planten,Растения,Plantas,식물,Φυτα,النباتات,צמחים,พืช,"Herba, Planta",தாவரங்கள்,वनस्पति,Rośliny,Halaman,Växter,Plante,Planter,Bitkiler,Kasvit,گیاهان,Planter,Tumbuhan,Rostliny,Növények,Расліны,Рослини,ተክል,Mimea,Растенията,Biljke,Plantoj
2,1030,Human Body Parts,Partes del cuerpo humano,Pièces de Corps Humain,人體結構,Der Menschliche Körper,人体の部分,Parti del corpo umano,Het menselijk lichaam,Части тела,Partes do Corpo Humano,인체,Τα μέρη του ανθρώπινου σώματος,أعضاء جسم الإنسان,גוף האדם,ส่วนต่างๆของร่างกายมนุษย์,Articuli Corporis,மனித உடல் பாகங்கள்,मनुष्य शरीर के विभिन्न अंग,Części ciała człowieka,Mga bahagi ng Katawan ng Tao,Kroppsdelar,Părți ale corpului uman,Kroppsdeler,Vücut Organları,Ihmisen ruumiinosat,اعضای بدن انسان,Menneskets kropsdele,Bagian Tubuh Manusia,Části lidského těla,Az Emberi Test,Часткі цела,Частини тіла,አካል,Viungo vya mwili,Частите на тялото,Dijelovi ljudskog tijela,Homa korpo
3,1040,"Life, Age","Vida, Edad","La Vie, Âge","生活, 年齡","Leben, Alter",人生、年齢,"La vita, l`età","Het leven, Leeftijd","Жизнь, возраст","Vida, Idade",인생과 나이,"Η ζωή, Ηλικία","الحياة , العمر","חיים, גיל",ชีวิต อายุ,"Vita, Aevus","வாழ்க்கை, வயது","जिदंगी, उम्र","Życie, Wiek","Buhay, Edad","Livet, Ålder","Viața, vârstă","Livet, Alder","Hayat, Yaş","Elämä, Ikä",زندگی، عمر,"Liv, Alder","Hidup, Usia","Život, Stáří",Életkor,"Жыццё, узрост","Життя, вік",ሕይወት,"Maisha, miaka","Животът, Възрастта","Život, dob","Vivo, Aĝo"
4,1045,Family,Familia,Famille,家庭,Familie,家族,Famiglia,Familie,Семья,Família,가족,Οικογένεια,العائلة,משפחה,ครอบครัว,Familia,குடும்பம்,परिवार,Rodzina,Pamilya,Familj,Familie,Familien,Aile,Perhe,خانواده,Familie,Keluarga,Rodina,Család,Сям`я,Родина,ቤተሰብ,Familia,Семейство,Obitelj,Familio
5,1050,"People: Relatives, Friends, Enemies…","Gente: Parientes, amigos, enemigos...","Les gens : Parents, Amis, Ennemis...","人們: 親戚, 朋友, 敵人...","Menschen: Angehörigen, Freunde, Feinde…",人々: 親類、友人、敵など,"Persone: Parenti, Amici, Nemici…","Mensen: Familie, Vrienden, Vijanden…","Люди: родственники, друзья, враги...","Pessoas: Parentes, Amigos, Inimigos...",사람들,"΄Ανθρωποι: Συγγενείς, φίλοι, εχθροί...",الناس,"אנשים : קרובי משפחה, ידידים, אויבים",คน: ญาติ เพื่อน ศัตรู,"Homines: Propinqui, Amici, Hostes…","மக்கள்: உறவினர், நண்பர்கள், எதிரிகள் ...","लॊग: रिश्तेदार, मित्र, दुश्मन…","Ludzie: Krewni, Przyjaciele, Wrogowie...","Mga Tao: Kamag-anak, Kaibigan, Kaaway","Människor: Familjemedlemmar, Vänner, Fienden…","Oameni: Rude, prieteni, dușmani…","Mennesker: Slektninger, Venner, Fiender…","İnsanlar: Akrabalar, Arkadaşlar, Düşmanlar...","Ihmiset: Sukulaiset, Ystävät, Viholliset…",افراد: بستگان، دوستان، دشمنان...,"Folk: Slægtninge, Venner, Fjender...","Orang-orang: Sanak saudara, Teman, Musuh…","Lidé: příbuzní, přátelé, nepřátelé...","Emberek: Rokonok, barátok, ellenségek . . .","Людзі: сваякі, сябры, ворагі","Люди: родичі, друзі, вороги...",ሕዝብ,"Watu: Jamaa, Marafiki, Maadui","Хората: роднини, приятели, врагове...","Ljudi: Rođaci, prijatelji, neprijatelji…","Homoj: parencoj, amikoj, malamikoj…"
6,1055,Human Characteristics 1,Características Humanas 1,Caractéristiques Humaines 1,人的特徵一,Menschliche Eigenschaften 1,人間の特性1,Caratteristiche Umane 1,Menselijke trekken 1,Человеческие качества 1,Características Humanas 1,사람의 특징1,Ανθρώπινα χαρακτηριστικά 1,صفات الإنسان 1,תכונות אופי 1,ลัษณะมนุษย์ 1,Naturales Humani I,மனித பண்புகள் 1,मानवीय अभिलक्षण १,Cechy charakterystyczne człowieka 1,Katangiang Pantao 1,Människoegenskaper 1,Caracteristicile umane 1,Menneskelige egenskaper 1,İnsan Özellikleri 1,Luonteenpiirteet 1,صفات انسان‌ها 1,Menneskelige kendetegn 1,Sifat Manusia 1,Popis člověka 1,Emberi vonások 1,Чалавечыя якасці 1,Людські якості 1,ጠባይ,Tabia za watu 1,Човешките качества 1,Ljudske karakteristike 1,Homaj proprecoj 1
7,1057,Human Characteristics 2,Características Humanas 2,Caractéristiques Humaines 2,人的特徵二,Menschliche Eigenschaften 2,人間の特性2,Caratteristiche Umane 2,Menselijke trekken 2,Человеческие качества 2,Características Humanas 2,사람의 특징 2,Ανθρώπινα χαρακτηριστικά 2,صفات الإنسان 2,תכונות אופי 2,ลักษณะมนุษย์ 2,Naturales Humani II,மனித பண்புகள் 2,मानवीय अभिलक्षण २,Cechy charakterystyczne człowieka 2,Katangiang Pantao 2,Människoegenskaper 2,Caracteristicile umane 2,Menneskelige egenskaper 2,İnsan Özellikleri 2,Luonteenpiirteet 2,صفات انسان‌ها 2,Menneskelige kendetegn 2,Sifat Manusia 2,Popis člověka 2,Emberi vonások 2,Чалавечыя якасці 2,Людські якості 2,ጠባይ2,Tabia za watu 2,Човешките качества 2,Ljudske karakteristike 2,Homaj proprecoj 2
8,1060,"Feelings, Senses","Sentimientos, sensaciónes","Sentiments, Sens","感覺, 感官","Gefühle, Sinne",気持ち、感覚,"Sentimenti, Sensi","Gevoel, Zintuigen","Чувства, ощущения","Sentimentos, Sentidos",감정과 감각,"Συναισθήματα, αισθήσεις","المشاعر , الأحاسيس","רגשות, תחושות",ความรู้สึก การรู้สึกได้,Sensus,"உணர்வுகள், புலன்கள்","विभिन्न इन्द्रियों, अनुभवों के बारे में","Uczucia, Zmysły","Saloobin, Pakiramdam","Känslor, Sinnen","Sentimente, simțuri","Følelser, Sanser",Duygular,"Tunteet, Aistit",احساسات و عواطف,"Følelser, Sanser","Perasaan, Indera","Pocity, smysly","Érzelmek, Érzékek","Пачуцці, адчуванні","Почуття, відчуття",ስሜት,"Hisia, Nadhari","Чувствата, осезанията","Osjećaji, osjetila","Sentoj, sensoj"
9,1070,"Health, Medicine, Hygiene","Salud, medicina, higiene","Santé, Médecine, Hygiène","健康, 醫學, 衛生學","Gesundheit, Medizin, Hygiene",健康、薬、衛生,"Salute, Medicina, Igiene","Gezondheid, Geneeskunde, Hygiëne","Здоровье, медицина, гигиена","Saúde, Medicamentos, Higiene","건강, 의학, 위생","Υγεία, ιατρική, υγιεινή","الصحة , الطب , النظافة","בריאות, תרופות, היגיינה",สุขภาพ ยา สุขลักษณะ,"Salus, Medicina, Hygiena","சுகாதாரம், மருத்துவம், சுத்தம்","स्वास्थ्य, औषध, शुचिता","Zdrowie, medycyna, higiena","Kalusugan, Medisina, Kalinisan","Hälsa, Medicin, Hygien","Sănatate, Medicină, Igienă","Helse, Medisin, Hygiene","Sağlık, Tıp, Hijyen","Terveys, Lääkkeet, Hygienia",سلامتی، دارو، بهداشت,"Sundhed, Medicin, Hygiejne","Kesehatan, Obat, Ilmu Kesehatan","Zdraví, medicína, hygiena","Egészségügy, gyógyszerek, higiénia","Здароўе, медыцына, гігіена","Здоров`я, медицина, гігієна",ጤና,"Afya, Dawa, Usafi","Здраве, медицина, хигиена","Zdravlje, medicina, higijena","Sano, kuracado, higieno"
10,1075,Education 1,Enseñanza 1,Éducation 1,教育一,Unterricht 1,教育1,Educazione 1,Onderwijs 1,Образование 1,Educação 1,교육1,Εκπαίδευση 1,التعليم 1,חינוך 1,การศึกษา 1,Disciplina I,கல்வி 1,शिक्षा १,Edukacja 1,Edukasyon 1,Utbildning 1,Educație 1,Utdanning 1,Eğitim 1,Koulutus 1,آموزش و پرورش 1,Uddannelse 1,Pendidikan 1,Vzdělání 1,Oktatás 1,Адукацыя 1,Освіта 1,ትምህርት,Masomo 1,Образование 1,Obrazovanje 1,Instruado 1
11,1077,Education 2,Enseñanza 2,Éducation 2,教育二,Unterricht 2,教育2,Educazione 2,Onderwijs 2,Образование 2,Educação 2,교육2,Εκπαίδευση 2,التعليم 2,חינוך 2,การศึกษา 2,Disciplina II,கல்வி 2,शिक्षा २,Edukacja 2,Edukasyon 2,Utbildning 1,Educație 2,Utdanning 2,Eğitim 2,Koulutus 2,آموزش و پرورش 2,Uddannelse 2,Pendidikan 2,Vzdělání 2,Oktatás 2,Адукацыя 2,Освіта 2,ትምህርት2,Masomo 2,Образование 2,Education 2,Instruado 2
12,1080,"Work, Business, Office","Trabajo, negocios, oficina","Travail, Affaires, Bureau","工作, 事務, 辦公室","Arbeit, Geschäft, Geschäftstelle",住居、家具、家庭用品仕事、ビジネス、オフィス,"Lavoro, Affari, Ufficio","Werk, Zaken, Kantoor","Работа, бизнес, офис","Trabalho, Negócios, Escritório","일, 비즈니스, 사무실","Η εργασία, επιχείρηση, γραφείο","الوظيفة , العمل , المكتب","עבודה, עסק, משרד",งาน ธุรกิจ ที่ทำงาน,"Labor, Negotitatio,","வேலை, வியாபாரம், அலுவலகம்","कार्य, व्यापार, कार्यालय","Praca, Biznes, Biuro","Trabaho, Negosyo, Opisina","Jobb, Affärer, Kontor","Muncă, Afacere, Birou","Jobb, Forretning, Kontor","İş, Ticaret, Ofis","Työ, Liike-elämä, Toimisto",کار، تجارت، اداره,"Arbejde, Forretning, Kontor","Kerja, Bisnis, Perkantoran","Práce, podnikání, kancelář","Munka, üzlet, iroda","Праца, бізнес, офіс","Робота, бізнес, офіс",ሥራ,"Kazi, Biashara, Ofisi","Работа, бизнес, офис","Posao, poslovanje, ured","Laboro, negoco, oficejo"
13,1085,Profession,Profesión,Profession,行業,Beruf,職業,Professioni,Beroep,Профессия,Profissão,직업,Το επάγγελμα,المهنة,מקצוע,อาชีพ,Professio,உத்யோகம்,व्यवसाय,Zawód,Propesyon,Yrke,Profesie,Yrke,Meslek,Ammatti,شغل,Profession,Pekerjaan,Profese,Szakma,Прафесія,Професія,ሞያ,Amali,Професия,Zanimanje,Profesio
14,1090,"Religion, Politics, Military, Science","Religión, Política, Militar, Ciencia","Religion, La Politique, Militaires, La Science","宗教, 政治, 軍事, 科學","Religion, Politik, Militär, Wissenschaft",宗教、政治、軍隊、科学,"Religione, Politica, Militari, Scienze","Religie, Politiek, Krijgsmacht, Wetenschap","Религия, политика, армия, наука","Religião, Política, Militarismo, Ciência","종교, 정치, 군사, 과학","Η θρησκεία, πολιτική, στρατός, επιστήμη","الدين , السياسة , الجيش , العلم","דת, פוליטיקה, צבאית, מדע",ศาสนา การเมือง การทหาร วิทยาศาสตร์,"Religio, Civilitas, Exercitus, Scientia","மதம், அரசியல், இராணுவம், அறிவியல்","धर्म, राजनीति, फौज, विज्ञान","Religia, Polityka, Wojsko, Nauka","Relihiyon, Politika, Militar, Syensya","Religion, Politik, Militärvetenskap","Religie, Politică, Armată, Știință","Religion, Politikk, Militæret, Vitenskap","Din, Politika, Askeri, Bilim","Uskonto, Politiikka, Armeija, Tiede",مذهب، سیاست، ارتش، علوم,"Religion, Politik, Militær, Videnskab","Agama, Politik, Militer, Ilmu Pengetahuan","Náboženství, politika, armáda, věda","Vallás, politika, katonaság, tudomány","Рэлігія, палітыка, войска, навука","Релігія, політика, армія, наука",ሃይማኖት,"Dini, Siasa, Jeshi, Sayansi","Религия, политика, армия, наука","Religija, politika, vojska, znanost","Religio, politiko, militaferoj, scienco"
15,1100,"Sports, Games, Hobbies","Deportes, Juegos, Afición","Sports, Jeux, Passe-temps","體育, 比賽, 嗜好","Sport, Spiele, Hobby",スポーツ、ゲーム、趣味,"Sport, Giochi, Tempo Libero","Sports, Games, Hobbies","Спорт, игры, хобби","Desportos, Jogos, Hobbies","스포츠, 게임, 취미","Ο αθλητισμός, παιχνίδια, χόμπι","الرياضة , الألعاب , الهوايات","ספורט, משחקים, תחביבים",กีฬา เกมส์ งานอดิเรก,"Ludi, Requies","விளையாட்டு, ஆட்டங்கள், பொழுதுபோக்குகள்","खेल-कूद, खेलें ,शौक","Sporty, Gry, Hobby","Palakasan, Laro, Libangan","Sport, Spel, Hobby","Sport, Jocuri, Interese","Sport, Spill, Hobby","Spor, Oyunlar, Hobi","Urheilu, Pelit, Harrastukset",ورزش ، بازی، سرگرمی,"Sport, Spil, Hobbyer","Olah raga, Permainan, Hobi","Sporty, hry, koníčky","Sport, játékok, hobbi","Спорт, гульні, хобі","Спорт, ігри, хоббі",ስፖርት,"Michezo, Michezo, changamko","Спорт, игра, хоби","Sport, igre, hobiji","Sporto, ludoj, hobio"
16,1110,"Entertainment, Art, Music","Entretenimiento, Arte, Música","Divertissement, Art, Musique","娛樂, 藝術, 音樂","Unterhaltung, Kunst, Musik",エンターテインメント、芸術、音楽,"Intrattenimento, Arte, Musica","Vermaak, Kunst, Muziek","Развлечения, искусство, музыка","Entretenimento, Arte, Música","오락, 예술, 음악","Ψυχαγωγία, τέχνη, μουσική","الترفيه , الفن , الموسيقا","בידור, אומנות, מוסיקה",ความบันเทิง ศิลปะ ดนตรี,"Ludi, Ars, Musica","பொழுதுபோக்கு, கலை, இசை","मनोरंजन, कला, संगीत","Rozrywka, Sztuka, Muzyka","Paglilibang, Sining, Musika","Underhållning, Konst, Musik","Divertisment, Artă, Muzică","Underholdning, Kunst, Musikk","Eğlence, Sanat, Müzik","Viihde, Taide, Musiikki",سرگرمی، هنر، موسیقی,"Underholdning, Kunst, Musik","Hiburan, Seni, Musik","Zábava, umění, hudba","Szórakozás, művészet, zene","Забавы, мастацтва, музыка","Розваги, мистецтво, музика",ማዝናኛ,"Kutumbuizwa, Sanaa, Muziki","Развлечение, изкуство, музика","Zabava, umjetnost, glazba","Distro, arto, muziko"
17,1120,"Food, Restaurants, Kitchen 1","Comida, Restaurantes, Cocina 1","Nourriture, Restaurants, Cuisine 1","食物, 餐廳, 廚房一","Essen, Restaurants, Küche 1",食物、レストラン、台所1,"Cibo, Ristoranti, Cucina 1","Eten, Restaurants, Keuken 1","Еда, рестораны, кухня 1","Comida, Restaurantes, Cozinha 1","음식, 식당, 주방 1","Τρόφιμα, εστιατόρια, κουζίνα 1","الغذاء , المطاعم , المطبخ 1","אוכל, מסעדות, מטבח 1",อาหาร ภัตตาคาร ห้องครัว 1,"Cibus, Bracinae, Culina I","உணவு, உணவகங்கள்,சமையலறை 1","भोजन, रेस्तरां, रसोई १","Jedzenie, Restauracje, Kuchnia 1","Pagkain, Kainan, Kusina 1","Mat, Restauranger, Kök 1","Mâncare, Restaurante, Bucătărie 1","Mat, Restauranter, Kjøkken 1","Yiyecek, Restoranlar, Mutfak 1","Ruoka, Ravintolat, Keittiö 1",غذاها، رستوران‌ها و آشپزخانه 1,"Mad, Restauranter, Køkken 1","Makanan, Restoran, Dapur 1","Jídlo, restaurace, kuchyně 1","Ételek, éttermek, konyha 1","Ежа, рэстараны, кухня 1","Їжа, ресторани, кухня 1",ምግብ,"Vyakula, Mikahawa, Jikoni 1","Ядене, ресторанти, кухня 1","Hrana, restorani, kuhinja 1","Manĝo, restoracio, kuirejo 1"
18,1125,"Food, Restaurants, Kitchen 2","Comida, Restaurantes, Cocina 2","Nourriture, Restaurants, Cuisine 2","食物,餐廳, 廚房二","Essen, Restaurants, Küche 2",食物、レストラン、台所2,"Cibo, Ristoranti, Cucina 2","Eten, Restaurants, Keuken 2","Еда, рестораны, кухня 2","Comida, Restaurantes, Cozinha 2","음식, 식당, 주방 2","Τρόφιμα, εστιατόρια, κουζίνα 2","الغذاء , المطاعم , المطبخ 2","אוכל, מסעדות, מטבח 2",อาหาร ภัตตาคาร ห้องครัว 2,"Cibus, Bracinae, Culina II","உணவு, உணவகங்கள், சமையலறை 2","भोजन, रेस्तरां, रसोई २","Jedzenie, Restauracje, Kuchnia 2","Pagkain, Kainan, Kusina 2","Mat, Restauranger, Kök 1","Mâncare, Restaurante, Bucătărie 2","Mat, Restauranter, Kjøkken 2","Yiyecek, Restoranlar, Mutfak 2","Ruoka, Ravintolat, Keittiö 2",غذاها، رستوران‌ها و آشپزخانه 2,"Mad, Restauranter, Køkken 2","Makanan, Restoran, Dapur 2","Jídlo, restaurace, kuchyně 2","Ételek, éttermek, konyha 2","Ежа, рэстараны, кухня 2","Їжа, ресторани, кухня 2",ምግብ2,"Vyakula, Mikahawa, Jikoni 2","Ядене, ресторанти, кухня 2","Hrana, restorani, kuhinja 1","Manĝo, restoracio, kuirejo 2"
